name,ring,quadrant,isNew,status,description
AI Explainability 360,Adote,a,TRUE,new,O AI Explainability 360 é um kit de ferramentas de código aberto da IBM para fornecer interpretabilidade e transparência em modelos de aprendizado de máquina por meio de várias técnicas de explicabilidade.
Alibi Explain,Experimente,b,TRUE,new,"O Alibi Explain é uma biblioteca de código aberto projetada para a interpretabilidade de modelos de aprendizado de máquina, oferecendo ferramentas para explicar previsões e entender o comportamento do modelo."
BigQuery ML,Experimente,b,TRUE,new,BigQuery ML é um serviço do Google Cloud que permite aos usuários criar e executar modelos de aprendizado de máquina diretamente no BigQuery usando consultas SQL.
Catboost,Experimente,b,TRUE,new,"CatBoost é uma biblioteca de boosting de gradiente de código aberto desenvolvida pela Yandex, projetada para lidar diretamente com características categóricas e otimizar o desempenho em tarefas de aprendizado de máquina."
Causal Impact,Experimente,b,TRUE,new,"Causal Impact é uma biblioteca Python para estimar o efeito causal de uma intervenção ou tratamento em uma série temporal, usando um modelo bayesiano estrutural de séries temporais."
Dask,Experimente,c,TRUE,new,"Dask é uma biblioteca de computação paralela em Python que escala análises de dados e tarefas computacionais de máquinas individuais para grandes clusters. Estende interfaces familiares como pandas e NumPy para ambientes de computação distribuída, permitindo o manuseio eficiente de processamento de dados em grande escala."
Diffusers,Experimente,c,TRUE,new,"Diffusers é uma biblioteca de código aberto desenvolvida pela Hugging Face para trabalhar com modelos de difusão, possibilitando treinamento e inferência para tarefas generativas em aprendizado de máquina."
ELI5,Experimente,c,TRUE,new,ELI5 (Explain Like I’m 5) é uma biblioteca Python para interpretar modelos de machine learning e entender suas previsões por meio de explicações simples e compreensíveis.
Hyperopt,Avalie,d,TRUE,new,"Hyperopt é uma biblioteca open-source para otimização de hiperparâmetros em machine learning, utilizando algoritmos avançados de busca para encontrar hiperparâmetros ótimos."
Keras,Avalie,d,TRUE,new,"Keras é uma API de redes neurais de alto nível escrita em Python, projetada para permitir experimentação rápida com modelos de aprendizado profundo, agora integrada como parte do TensorFlow."
